Részvények ;;DOL/POU;EUR;;;;;;;;;;;;;
;OCDO;512,99;;;;;;;;;;;;;;
;APLE;15,77;15,78420579;;;;;;;;;0,002495944;HUF/USD;;0,016644474;RUB/USD
;BJ;76,18;76,24862376;;;;;;;;;400,649976;USD/HUF;;60,08;USD/RUB
;AVST;7,166;7,17245521;;;;;;;;;;;;;
;GEVO;2,495;2,497247523;;;;;0,9991;ERU/USD;;;0,002498876;HUF/EUR;;0,016681173;RUB/EUR
VAN;QK;2,9175;2,920128115;;;;;1,000900811;USD/EUR;;;400,1799766;EUR/HUF;;59,947824;EUR/RUB
;BP;31,45;31,4783305;;;;;;;;;;;;;
;DIS;111,03;111,130017;;;;;0,86918358;EUR/GBP;;;;;;;
;WMT;133,295;133,4150736;;;;;1,146145;GBP/EUR;;;;;;;
;IBM;125,28;125,3928536;;;;;;;;;;;;;
;VZ;40,995;41,03192874;;;;;;;;;;;;;
;AAP;151,76;151,896707;;;;;;;;;;;;;
VAN;NIO;21,43;21,44930437;;;;;;;;;;;;;
;COIN;77,22;77,2895606;;;;;;;;;;;;;
;META;149,05;149,1842658;;;;;;;;;;;;;
;GOOGL;102,63;102,7224502;;;;;;;;;;;;;
;MSFT;244,59;244,8103293;;;;;;;;;;;;;
;SHOP;33,68;33,71033931;;;;;;;;;;;;;
;NVDA;128,76;128,8759884;;;;;;;;;;;;;
;BARC;1,86;1,861675508;;;;;;;;;;;;;
;MTTR;4,105;4,108697828;;;;;;;;;;;;;
;SONO;15,445;15,45891302;;;;;;;;;;;;;
;BMBL;25,08;25,10259233;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Coinok;;;;;;;;;;;;;;;;
;Polka;;;;;;;;;;;;;;;
;Bitcoin;19736,56;;;;;;;;;;;;;;
;ETH2;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
15.9.2022;15.9.2022 21:25;;;;;;;;;;;;;;;
;6:15 e.h.;;;;;;;;;;;;;;;
